concept,decade,cluster,top_tokens,k,silhouette,concept_hits,json_path
nuclear,1970,0,"biological, lethal",10,0.09627380967140198,11,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1970_topics.json
nuclear,1970,1,"tritium, pollutant, effluents, effluent, ionizing, bacteriological, radionuclides, hydrocarbon, strontium, pollutants, pcbs, toxicity",10,0.09627380967140198,11,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1970_topics.json
nuclear,1970,2,"isotopes, hydrogen, lithium, methane, cadmium, sulfur, sulfide, carbon, chlorine, monoxide, dioxide, phenols",10,0.09627380967140198,11,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1970_topics.json
nuclear,1970,3,"detonation, eniwetok, detonated, projectiles, tracers, bombs, laser, launchers, launcher, incendiary, incendiaries, explosions",10,0.09627380967140198,11,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1970_topics.json
nuclear,1970,4,"isotope, radiation, radioactivity, gaseous, proton, radiations, cyclotron, neutrons, subatomic, electrostatic, electromagnetic, photosynthesis",10,0.09627380967140198,11,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1970_topics.json
nuclear,1970,5,"nuclear, atomic, reactor, thermonuclear, fallout, neutron, reactors, atom, bomb, nagasaki, hiroshima",10,0.09627380967140198,11,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1970_topics.json
nuclear,1970,6,"warhead, warheads, icbm, antimissile, icbms, weapons, mx, ballistic, submarines, weaponry, deploying, trident",10,0.09627380967140198,11,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1970_topics.json
nuclear,1970,7,"radioactive, plutonium, fission, uranium, fissionable, thorium, stockpiles, stockpiled, tailings, stockpile, fossil, fuels",10,0.09627380967140198,11,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1970_topics.json
nuclear,1970,8,"converter, payload, accumulators, centrifuge, propellant, fuel, nitroglycerin, atomics, generators, flywheel, energy, catalytic",10,0.09627380967140198,11,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1970_topics.json
nuclear,1970,9,"pacemaker, megatons, kiloton, kilotons, quasar, megaton, tnt, kilograms, kilowatts, rads, rad, decompression",10,0.09627380967140198,11,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1970_topics.json
nuclear,1980,0,"megatons, kilotons, kiloton, detonation, eniwetok, bombs, payloads, feedstocks, tnt, stockpiled, megaton, projectiles",7,0.08145752549171448,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1980_topics.json
nuclear,1980,1,"radioactive, radioactivity, radiation, fallout, radon, toxic, monoxide, picocuries, dioxide, emissions, contamination, pollutants",7,0.08145752549171448,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1980_topics.json
nuclear,1980,2,"isotope, fission, atom, hydrogen, isotopes, accelerators, neutron, quasar, neutrons, neutrinos, centrifuge, proton",7,0.08145752549171448,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1980_topics.json
nuclear,1980,3,"thorium, lithium, hydrocarbon, isocyanate, hydrocarbons, sulfide, cadmium, oxides, graphite, boron, chlorine, sulfur",7,0.08145752549171448,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1980_topics.json
nuclear,1980,4,"atomic, nuclear, reactors, thermonuclear, bomb, warhead, weapons, warheads, asat, aec, antimissile, destabilizing",7,0.08145752549171448,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1980_topics.json
nuclear,1980,5,"cesium, ionizing, glycol, effluent, pollutant, pcbs, exoterrestrial, interferon, effluents, bacteriological, radionuclides, dioxin",7,0.08145752549171448,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1980_topics.json
nuclear,1980,6,"plutonium, tritium, uranium, chernobyl, reactor, fissionable, emp, meltdown, lwr, sellafield, geothermal, stockpiles",7,0.08145752549171448,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1980_topics.json
nuclear,1990,0,"fission, deuterium, hydrogen, radiation, atom, proton, neutron, chroniton, neutrons, neutrino, antimatter, graviton",6,0.07888391613960266,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1990_topics.json
nuclear,1990,1,"radioactive, isotope, radioactivity, chemical, thorium, curies, toxic, ionizing, cesium, isotopes, reprocessed, fluorocarbons",6,0.07888391613960266,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1990_topics.json
nuclear,1990,2,"polaric, tetryon, trilithium, thoron, radioisotope, radioisotopes, biomimetic, gallium, naqahdah, accelerators, ionize, baryon",6,0.07888391613960266,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1990_topics.json
nuclear,1990,3,"tritium, semipalatinsk, fissionable, calutrons, superbomb, reprocessing, deliverable, centrifuges, pantex, decontaminate, rdf, rabta",6,0.07888391613960266,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1990_topics.json
nuclear,1990,4,"plutonium, nuclear, reactor, uranium, atomic, thermonuclear, reactors, bomb, warhead, warheads, chernobyl, fissile",6,0.07888391613960266,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1990_topics.json
nuclear,1990,5,"osirak, detonators, thermite, detonates, supergun, detonated, bombs, detonation, detonate, detonator, missile, cannisters",6,0.07888391613960266,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1990_topics.json
ai,1980,0,"heritability, phenylpropane, subfield, algol, ethanolysis, alternant, monomeric, phoneme, sulfonation, quantitatively, titrations, nonproper",6,0.10341910272836685,3,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1980_topics.json
ai,1980,1,"robno, gremionis, humbertwhat, gemora, joannai, oops, chandleri, remywhat, maudei, larrywhat, squiresyou, annewhat",6,0.10341910272836685,3,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1980_topics.json
ai,1980,2,"predictive, phonological, articulating, deletion, stoichiometry, analogue, mri, nonlinear, morphological, is, gompertz, cpm",6,0.10341910272836685,3,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1980_topics.json
ai,1980,3,"ai, dyou, samuelson, aubie, lissen, afeart, rosei, realy, happent, hornwell, dannyi",6,0.10341910272836685,3,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1980_topics.json
ai,1980,4,"inference, observational, herskovits, explicandum, relational, explicans, logico, epistemologist, grammars, phonemic, empirically, knowable",6,0.10341910272836685,3,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1980_topics.json
ai,1980,5,"computing, computation, arithmetical, computed, interpolation, compute, guesswork, mathematical, actuarial",6,0.10341910272836685,3,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1980_topics.json
ai,1990,0,"combinatorial, symyx, biogenetic",6,0.06251276284456253,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1990_topics.json
ai,1990,1,"computational, algorithmic, heuristic, deductively, instantiations, computationally, nop, operationalization, microeconomics, modularity, heuristics, notational",6,0.06251276284456253,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1990_topics.json
ai,1990,2,"sql, lossless, vhdl, essl, microcode, sysplex, synopsys, vsa, mnets, foxpro, mosfet, cryptography",6,0.06251276284456253,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1990_topics.json
ai,1990,3,"algorithms, algorithm, ibmlz, pipelining, memoryless, einstimer, pka, parametric, hexadecimal, translog, subroutines, preprocessor",6,0.06251276284456253,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1990_topics.json
ai,1990,4,"semiclassical, mesoscopic, wavelet, superstring, nanostructures, chronometric, nanoscale, electrodynamics, nonlinearity, allometric, thermodynamic, cointegration",6,0.06251276284456253,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1990_topics.json
ai,1990,5,"dbms, summarization, hlm, bayesian, flowcharts, epm, graphing, cbm, floorplan, randomization, multiplexing, flexibilities",6,0.06251276284456253,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1990_topics.json
ai,2000,0,"poweredge, teraflops, computer",7,0.07303982973098755,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/2000_topics.json
ai,2000,1,"hlm, stata, rtop, itsacorr, bidimensional, codebook, rrna, muthn, autoregressive, hydrogeologic, summated, braillenote",7,0.07303982973098755,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/2000_topics.json
ai,2000,2,"reconfigurable, sql, labview, fraank, automates, nvivo, xslt, subagent, hyperspectral, planetlab, virtualization, middleware",7,0.07303982973098755,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/2000_topics.json
ai,2000,3,"dbms, einstimer, multithreaded, pka, microcode, cisc, preprocessor, memoryless, vhdl, graphing, ibmlz, fortran",7,0.07303982973098755,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/2000_topics.json
ai,2000,4,"bdpa, nems, adiabatic, bdfp, multiprocessor, optimization, dft, microelectromechanical, scalability, sraf, architectures, algorithmic",7,0.07303982973098755,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/2000_topics.json
ai,2000,5,"intensional, grundrechnung, palem, anthropometry, bayes, geospatial, analogizing, barcoding, cryptology, heuristic, memetic, bioinformatics",7,0.07303982973098755,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/2000_topics.json
ai,2000,6,"algorithms, computational, algorithm, computing, boolean, computation, probabilistic, bayesian, cryptography, mathematical, computations, deductive",7,0.07303982973098755,12,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/2000_topics.json
